"efternamn","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Abrahamsson",10445,10470,10439,10430,10420,10431,10387,10338,10329,10303,10287,10296,10296,10274,10296,10288,10224,10197,10168,10134,10079,10039,9997,9978,9931,9918,9854,9839,9837,9823,9822,9773,9686,9669,9648,9607,9591,9506,9400,9310
"Ahmed",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9361,10079,10761,11431
"Ali",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9838,10682,11576,12754,13791,14685,15473
"Andersson",350706,347955,345703,341570,338510,335510,332501,329716,326914,323843,321157,318694,316386,313633,310740,307714,304275,300998,297087,293679,290244,286979,283824,280700,277829,274652,271365,268030,264629,261415,257994,254909,251621,248374,245208,241854,238843,235299,231727,228264
"Andreasson",11126,11082,11078,11025,11009,10948,10909,10852,10868,10857,10819,10760,10738,10706,10682,10586,10508,10473,10399,10358,10291,10216,10180,10116,10074,10003,9909,9815,9760,9711,9659,9615,9557,9482,9426,9345,9266,9187,9092,9024
"Arvidsson",13128,13216,13284,13336,13381,13389,13449,13508,13606,13690,13784,13864,13923,13988,13971,13989,13972,13984,13961,13938,13899,13854,13846,13803,13786,13769,13727,13705,13643,13608,13572,13515,13466,13443,13436,13317,13232,13096,12972,12862
"Axelsson",24300,24396,24491,24506,24557,24575,24575,24596,24564,24553,24627,24661,24657,24649,24619,24588,24480,24391,24308,24180,24022,23956,23860,23672,23594,23491,23364,23246,23229,23142,23048,22897,22770,22631,22486,22452,22307,22124,21918,21671
"Bengtsson",42181,42068,41912,41741,41521,41325,41157,40894,40774,40661,40566,40390,40219,40011,39813,39633,39399,39117,38898,38542,38216,37951,37641,37346,37044,36719,36388,36012,35665,35365,35047,34682,34302,33903,33525,33196,32923,32545,32079,31649
"Berg",21158,21123,21126,21082,21078,21042,20998,21033,21042,21148,21216,21277,21306,21359,21402,21412,21445,21371,21264,21216,21181,21180,21132,21184,21233,21279,21292,21338,21388,21386,21479,21544,21563,21597,21624,21672,21677,21664,21584,21525
"Berggren",11471,11481,11510,11505,11501,11524,11546,11558,11541,11511,11499,11506,11528,11519,11531,11530,11532,11530,11466,11401,11407,11362,11316,11336,11336,11309,11304,11259,11233,11245,11212,11209,11220,11211,11190,11171,11157,11109,11054,11016
